sentence,aspect,polarity
Sake shy hospital Azad Nagar Gora kh bar is a pioneer of innovation and they use the newest and innovative technologies to give their patients the best results,"['hospital', 'gora', 'nagar', 'innovation', 'innovative']","['Neutral', 'Positive', 'Neutral', 'Positive', 'Positive']"
"Dr seer a la boo path you clinic , Anna Nagar , Madurai has the best departments and they keep res e arcing on the best ways to do the treatment so it is a great place to work at","['clinic', 'madurai', 'nagar', 'treatment', 'dr']","['Neutral', 'Positive', 'Neutral', 'Neutral', 'Positive']"
this hospital has cutting edge technology and the skills of the doctors are also too good here,"['hospital', 'doctors', 'technology', 'skills', 'cutting']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital is fully equipped with the best technology and the atmosphere at this hospital is really good,"['hospital', 'atmosphere', 'technology', 'best', 'fully']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
everyone in this hospital from the staff to the maid is great and they know how to treat their patients well,"['patients', 'hospital', 'maid', 'staff', 'treat']","['Positive', 'Neutral', 'Positive', 'Positive', 'Positive']"
park hospital is to hat a Gora kh pair provides a cashless service option if the health insurance providers that you have choose and are on their list and they did take really good care of my daughter who was suffering from dengue,"['hospital', 'dengue', 'gora', 'cashless', 'insurance']","['Neutral', 'Neutral', 'Positive', 'Neutral', 'Neutral']"
they helped me get to the toilet and do my exercises that I was recommended and they were invested in me getting alright like I was a part of their family,"['family', 'toilet', 'helped', 'exercises', 'invested']","['Positive', 'Neutral', 'Positive', 'Neutral', 'Positive']"
this hospital has all the services that are needed for a good surgery and they have an hours ambulance and pharmacy service which is great,"['hospital', 'ambulance', 'surgery', 'services', 'pharmacy']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hops it all did not charge us expensive consultation charges and the doctors were really polite and spoke to us for an hour and gave us an entire plan on how to get better,"['consultation', 'doctors', 'charges', 'did', 'expensive']","['Positive', 'Positive', 'Negative', 'Positive', 'Negative']"
the doctors at this hospital have amazing credentials and the rating of the hospital is also really good,"['hospital', 'doctors', 'rating', 'credentials', 'good']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
"the doctors at keeping fit naturopathy hospital Natha m road , Madurai have a lot of expertise in their field and the fees that they charge for surgery is also not that much","['naturopathy', 'madurai', 'fees', 'doctors', 'hospital']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hops it all has a huge number of beds so it should be able to a common date you in case of emergency just like they were able to accommodate my daughter,"['beds', 'date', 'emergency', 'hops', 'common']","['Positive', 'Neutral', 'Positive', 'Positive', 'Neutral']"
"ashwin specialty hospital ran an Nagar , Madurai has highly advanced operation theatres so you will not feel any pain after the surgery and it will not leave any major scars on your body","['surgery', 'madurai', 'hospital', 'nagar', 'operation']","['Positive', 'Positive', 'Positive', 'Neutral', 'Positive']"
if it was not for this department probably my sister ' s case would have been really delayed,"['department', 'case', 'delayed', 'sister', 'probably']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']"
I stayed at New j Ivan hospital Ashok Nagar Gora kh bar for a night and everything was well taken care of for me,"['hospital', 'nagar', 'gora', 'stayed', 'bar']","['Positive', 'Neutral', 'Positive', 'Positive', 'Neutral']"
"ashwin specialty hospital ran an Nagar , Madurai offers advanced treatment by following international medical standards and procedures","['madurai', 'nagar', 'hospital', 'ashwin', 'treatment']","['Neutral', 'Neutral', 'Positive', 'Positive', 'Positive']"
this hospital has a doctor who engages you in a conversation and tries to take your mind off the pain and he has trained the staff to do so as well,"['hospital', 'doctor', 'pain', 'staff', 'conversation']","['Positive', 'Positive', 'Neutral', 'Positive', 'Neutral']"
this hospital is really amazing,"['hospital', 'amazing', 'really']","['Positive', 'Positive', 'Positive']"
this hospital ensures that you get the highest quality of care and it has top notch facilities and amenities,"['hospital', 'amenities', 'facilities', 'quality', 'care']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
The hospital can rag hat Gora kh bar is known for its emergency medical services and they also have a cardiac and trauma ambulance,"['gora', 'hospital', 'ambulance', 'emergency', 'medical']","['Positive', 'Neutral', 'Positive', 'Positive', 'Positive']"
sheet a hospital day an and Nagar Gora kh pair is quite accessible by all the modes of transport because it is located in the center of the city and my surgery was successful here because the doctors are amazing,"['gora', 'hospital', 'nagar', 'transport', 'accessible']","['Positive', 'Neutral', 'Positive', 'Positive', 'Positive']"
"this hops it al did my mothers surgery really well and it was a really complicated surgery , but they ensured that my mother was well taken care of so I am very thankful to the doctors","['surgery', 'doctors', 'mothers', 'thankful', 'mother']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
their service includes ambulance services blood bank services and a pharmacy,"['ambulance', 'services', 'pharmacy', 'service', 'bank']","['Positive', 'Positive', 'Neutral', 'Positive', 'Positive']"
this hops it all provides quality care because they have staff that is very passionate and professional and care for their patients,"['patients', 'staff', 'care', 'quality', 'provides']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
they ensure that they do everything to give the best of services to the patient,"['services', 'patient', 'ensure', 'best']","['Positive', 'Positive', 'Positive', 'Positive']"
"this hops it al did my mothers surgery really well and it was a really complicated surgery , but they ensured that my mother was well taken care of so I am very thankful to the doctors","['surgery', 'doctors', 'mothers', 'thankful', 'mother']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
Nav j Ivan hospital Ashok Nagar Gora kWh our offers treatment at very low cost and they do the surgery in a very good way,"['gora', 'surgery', 'hospital', 'treatment', 'nagar']","['Neutral', 'Positive', 'Neutral', 'Positive', 'Neutral']"
the infrastructure at this hospital is simply a comparable by any other hospital and the charges for the room is also not that high,"['hospital', 'infrastructure', 'room', 'charges', 'comparable']","['Positive', 'Positive', 'Neutral', 'Positive', 'Positive']"
Nave che tan clinic Bashar at our Gora kh pair has many Ron owed doctors who visit the clinic and they have world class facilities at the clinic,"['clinic', 'gora', 'doctors', 'bashar', 'visit']","['Neutral', 'Positive', 'Positive', 'Positive', 'Positive']"
it is the best hospital to go to,"['hospital', 'best']","['Positive', 'Positive']"
this hospital has experienced staff and state of the art technology and modern amenities,"['hospital', 'amenities', 'staff', 'technology', 'modern']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
the critical care units are fully equipped as well,"['critical', 'units', 'care', 'equipped', 'fully']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
"they are not money minded and are very kind , unlike doctors in other places","['doctors', 'minded', 'money', 'places', 'kind']","['Positive', 'Positive', 'Negative', 'Neutral', 'Positive']"
they coordinated with my health insurance company and got it done quickly,"['insurance', 'company', 'quickly', 'coordinated', 'health']","['Positive', 'Positive', 'Positive', 'Positive', 'Neutral']"
this hospital has an in house the rid party assistance desk that assists you with the process of your media claim really well,"['hospital', 'media', 'party', 'assistance', 'desk']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
but these doctors were able to do that and recommend surgery and my mother feels amazing now,"['surgery', 'doctors', 'mother', 'amazing', 'feels']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
it is great to get your treatment done for him,"['treatment', 'great']","['Positive', 'Positive']"
this hospital has state of the art technology and amenities which ensures that your surgery will be done with accuracy,"['hospital', 'surgery', 'amenities', 'technology', 'accuracy']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
if it was not for this department probably my sister ' s case would have been really delayed,"['department', 'case', 'delayed', 'sister', 'probably']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']"
PC hospital shah pours Gora oh power has fully functional operation theaters ICUs and emergency rooms and good infrastructure so it is a good idea to work for them,"['hospital', 'infrastructure', 'emergency', 'operation', 'rooms']","['Neutral', 'Positive', 'Neutral', 'Positive', 'Neutral']"
"the infrastructure at he MA medical center okay Nagar , Madurai is simply a comparable by any other hospital and the charges for the room is also not that high","['nagar', 'madurai', 'hospital', 'medical', 'room']","['Neutral', 'Positive', 'Neutral', 'Neutral', 'Neutral']"
presidency hospital civil lines Gora kWh our offers treatment at affordable prices and the medical care of this place is really excellent,"['gora', 'hospital', 'medical', 'affordable', 'treatment']","['Positive', 'Neutral', 'Positive', 'Positive', 'Positive']"
they coordinated with my health insurance company and got it done quickly,"['insurance', 'company', 'quickly', 'coordinated', 'health']","['Positive', 'Positive', 'Positive', 'Positive', 'Neutral']"
this hospital has modern theatre rooms that cater to the needs of a wide variety of patients who suffer from different problems,"['hospital', 'rooms', 'theatre', 'patients', 'problems']","['Positive', 'Positive', 'Positive', 'Positive', 'Neutral']"
the doctors at this hospital examine your case from all angles and do not just rush you into surgery they will even recommend alternative medicine if required,"['surgery', 'hospital', 'doctors', 'medicine', 'case']","['Positive', 'Neutral', 'Positive', 'Positive', 'Positive']"
the doctors in s Avon t tam hospital be to hurt a Gora oh poor are very qualified and can perform different kind of surgeries so that is great,"['gora', 'surgeries', 'hospital', 'doctors', 'poor']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
the doctors in this hops it all are very qualified and can perform different kind of surgeries so that is great,"['surgeries', 'doctors', 'qualified', 'perform', 'hops']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hops its oil is known for its emergency medical services and they also have a cardiac and trauma ambulance,"['ambulance', 'emergency', 'medical', 'cardiac', 'oil']","['Positive', 'Positive', 'Positive', 'Neutral', 'Positive']"
this hospital hires really talented doctors with over years of experience so you know that you are in safe hands,"['hospital', 'doctors', 'experience', 'safe', 'hires']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
the diet of the patient is decided based on the therapeutic needs of the patient,"['diet', 'therapeutic', 'patient', 'needs', 'based']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']"
this hops it all has a huge number of beds so it should be able to a common date you in case of emergency just like they were able to accommodate my daughter,"['beds', 'date', 'emergency', 'hops', 'common']","['Positive', 'Neutral', 'Positive', 'Positive', 'Neutral']"
very happy with the work,"['happy', 'work']","['Positive', 'Positive']"
this hospital has a very nice management and they will organize every r thing really well for you,"['hospital', 'organize', 'management', 'really', 'nice']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
Karp aga VI Naya a hospital sell or Madurai has many Ron owed doctors who visit the clinic and they have world class facilities at the clinic,"['clinic', 'madurai', 'hospital', 'doctors', 'facilities']","['Positive', 'Positive', 'Neutral', 'Positive', 'Positive']"
this hospital has surgeons with a lot of years of experience and they do the surgery with extreme care and attention to detail,"['surgeons', 'hospital', 'surgery', 'extreme', 'experience']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
the doctors in this hops it all are very qualified and can perform different kind of surgeries so that is great,"['surgeries', 'doctors', 'qualified', 'perform', 'hops']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
Shahi global hospital Indira Nagar Gora kh bar has a huge staff of about around consultants and specialized nurses so you will definitely get all the care that you need,"['gora', 'hospital', 'consultants', 'nagar', 'nurses']","['Positive', 'Positive', 'Positive', 'Neutral', 'Positive']"
pan Martin clinic Indira Nagar Gora kh pair provides quality care because they have staff that is very passionate and professional and care for their patients,"['gora', 'clinic', 'nagar', 'patients', 'indira']","['Neutral', 'Neutral', 'Neutral', 'Positive', 'Positive']"
we do not have to run around for anything,['run'],['Positive']
we do not have to run around for anything,['run'],['Positive']
Adj panda n hospital sale Madurai offers treatment at affordable prices and the medical care of this place is really excellent,"['madurai', 'hospital', 'affordable', 'treatment', 'medical']","['Positive', 'Neutral', 'Positive', 'Neutral', 'Positive']"
guru hospital p and I cave IL Madurai gives the patients good and healthy food on time and everything from a pharmacy to an ATM is available within the hospital,"['madurai', 'hospital', 'pharmacy', 'patients', 'guru']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']"
it is the best hospital to go to,"['hospital', 'best']","['Positive', 'Positive']"
this hospital provides a cashless service option if the health insurance providers that you have choose and are on their list and they did take really good care of my daughter who was suffering from dengue,"['hospital', 'dengue', 'cashless', 'insurance', 'providers']","['Positive', 'Neutral', 'Neutral', 'Positive', 'Positive']"
Anu Graham hospital Mahal area Madurai has cutting edge technology and the skills of the doctors are also too good here,"['madurai', 'hospital', 'doctors', 'technology', 'mahal']","['Positive', 'Neutral', 'Positive', 'Positive', 'Neutral']"
raj eye hospital kale puree Gora kh pair gives the patients good and healthy food on time and everything from a pharmacy to an ATM is available within the hospital,"['gora', 'hospital', 'patients', 'kale', 'pharmacy']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']"
the infrastructure at this hospital is simply a comparable by any other hospital and the charges for the room is also not that high,"['hospital', 'infrastructure', 'room', 'charges', 'comparable']","['Positive', 'Positive', 'Neutral', 'Positive', 'Positive']"
Apollo skin hospital per year Madurai has world class facilities and the payment process is also very smooth here because they have partnered with many insurance companies to ensure a smooth process for you,"['madurai', 'hospital', 'insurance', 'facilities', 'payment']","['Positive', 'Neutral', 'Neutral', 'Positive', 'Positive']"
this hospital gives the patients good and healthy food on time and everything from a pharmacy to an ATM is available within the hospital,"['hospital', 'pharmacy', 'patients', 'healthy', 'food']","['Neutral', 'Neutral', 'Positive', 'Positive', 'Positive']"
we went to this hospital after consulting a doctor from another hospital and this doctor gave us a safe and accurate diagnosis and told us not to go for surgery,"['surgery', 'hospital', 'diagnosis', 'doctor', 'told']","['Negative', 'Neutral', 'Positive', 'Neutral', 'Positive']"
it is a good place to take treatment from,"['treatment', 'place', 'good']","['Neutral', 'Positive', 'Positive']"
Narayan hospital trauma and multi specialty center phase Gora kh pair has cutting edge technology and the skills of the doctors are also too good here,"['gora', 'specialty', 'hospital', 'narayan', 'doctors']","['Positive', 'Neutral', 'Neutral', 'Neutral', 'Positive']"
we went to a run hospital Krishna para m Madurai after consulting a doctor from another hospital and this doctor gave us a safe and accurate diagnosis and told us not to go for surgery,"['madurai', 'krishna', 'surgery', 'diagnosis', 'hospital']","['Neutral', 'Neutral', 'Negative', 'Positive', 'Neutral']"
"this hospital has a lot of amenities like laboratory , pharmacy a dialysis center and Cath lab and much more which sees to it that the needs of the patients are met no matter what surgery they have come for","['hospital', 'patients', 'dialysis', 'amenities', 'surgery']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
I was completely fine now because I followed their advice,"['advice', 'fine', 'followed', 'completely']","['Positive', 'Positive', 'Positive', 'Positive']"
the doctors at this hospital were well qualified and they took amazing care of me this hospital was simply too good,"['hospital', 'doctors', 'care', 'qualified', 'good']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital has the best of doctors who are well educated and smart so I like the treatment at this place,"['hospital', 'doctors', 'treatment', 'educated', 'smart']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
"Anna my hospital per year Madurai uses international standards as their benchmark for medical , nursing and operating protocols , and they are the best at their job","['nursing', 'madurai', 'hospital', 'standards', 'benchmark']","['Positive', 'Positive', 'Neutral', 'Positive', 'Neutral']"
this hospital has the best of doctors who are well educated and smart so I like the treatment at this place,"['hospital', 'doctors', 'treatment', 'educated', 'smart']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
they also have the best doctors who can make use of the technology,"['doctors', 'technology', 'best', 'use', 'make']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
I was completely fine now because I followed their advice,"['advice', 'fine', 'followed', 'completely']","['Positive', 'Positive', 'Positive', 'Positive']"
this hops it all has some really experienced and well qualified doctors so you can trust them with your life because their success rate for surgery is really high,"['surgery', 'doctors', 'trust', 'experienced', 'success']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hops it all provides quality care because they have staff that is very passionate and professional and care for their patients,"['patients', 'staff', 'care', 'quality', 'provides']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
Ran a hospital char gawa Gora oh pure is really reputed and all the medical facilities are available within one roof so I like this place quite a lot,"['hospital', 'gora', 'facilities', 'medical', 'roof']","['Neutral', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital is quite accessible by all the modes of transport because it is located in the center of the city and my surgery was successful here because the doctors are amazing,"['hospital', 'transport', 'surgery', 'accessible', 'city']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
"they are not money minded and are very kind , unlike doctors in other places","['doctors', 'minded', 'money', 'places', 'kind']","['Positive', 'Positive', 'Negative', 'Neutral', 'Positive']"
they coordinated with my health insurance company and got it done quickly,"['insurance', 'company', 'quickly', 'coordinated', 'health']","['Positive', 'Positive', 'Positive', 'Positive', 'Neutral']"
they helped me get to the toilet and do my exercises that I was recommended and they were invested in me getting alright like I was a part of their family,"['family', 'toilet', 'helped', 'exercises', 'invested']","['Positive', 'Neutral', 'Positive', 'Neutral', 'Positive']"
the doctors at this hospital examine your case from all angles and do not just rush you into surgery they will even recommend alternative medicine if required,"['surgery', 'hospital', 'doctors', 'medicine', 'case']","['Positive', 'Neutral', 'Positive', 'Positive', 'Positive']"
Rajbanshi Neuro and multi specialty hospital paid Logan j Gora kh pair has all the emergency equipment that is needed in the ICU and they analyze the reports really well and give a proper diagnosis,"['gora', 'hospital', 'diagnosis', 'icu', 'emergency']","['Neutral', 'Neutral', 'Positive', 'Neutral', 'Positive']"
the doctors are very good as well,"['doctors', 'good']","['Positive', 'Positive']"
"this hospital provides for hour security and that is really good because I had to stay in the hospital for a night and since I am living alone in the city I had no one who could stay with me and for better recovery I needed to sleep , but they assured me that they have good security which consists of a team of females as well and I do not need to worry","['hospital', 'security', 'assured', 'hour', 'night']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital has a very well trained team who takes care of all your needs and does a great job at supporting your preoperative and postoperative surgery needs,"['hospital', 'preoperative', 'postoperative', 'surgery', 'care']","['Positive', 'Neutral', 'Neutral', 'Neutral', 'Positive']"
if it was not for this department probably my sister ' s case would have been really delayed,"['department', 'case', 'delayed', 'sister', 'probably']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']"
"the doctors at a rave ND eye hospital ran an Nagar , Madurai were well qualified and they took amazing care of me a review ND eye hospital ran a major Madurai was simply too good","['madurai', 'nagar', 'hospital', 'doctors', 'rave']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
shukla hospital is to hat a Gora kh pair has cutting edge equipment and a staff that highly trained and professional and know what they are doing,"['shukla', 'gora', 'hospital', 'equipment', 'staff']","['Neutral', 'Positive', 'Neutral', 'Positive', 'Positive']"
"Keys a van hospital east valley street Madurai uses international standards as their benchmark for medical , nursing and operating protocols , and they are the best at their job","['hospital', 'madurai', 'standards', 'nursing', 'medical']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital did not overcharge us for the surgery like many other hospitals do and did not write any unnecessary medicine as well,"['hospital', 'surgery', 'hospitals', 'overcharge', 'medicine']","['Positive', 'Neutral', 'Positive', 'Negative', 'Positive']"
but these doctors were able to do that and recommend surgery and my mother feels amazing now,"['surgery', 'doctors', 'mother', 'amazing', 'feels']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
"the operations team at this hospital is great and they did my surgery so well , I feel fine now and they also gave me amazing tips to take care of my health given my condition","['hospital', 'surgery', 'operations', 'tips', 'care']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
the ICUs and theatres at this hospital are really well equipped and the pharmacy is open x,"['hospital', 'pharmacy', 'icus', 'theatres', 'open']","['Positive', 'Neutral', 'Positive', 'Positive', 'Positive']"
"the staff at this hospital are really friendly and amazing and they did my dad ' s surgery really well , so I was glad that I did the surgery with them","['hospital', 'surgery', 'staff', 'friendly', 'glad']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
"there are a lot of amenities and facilities that Osama Habib bash rat pours Gora oh power gives its patients , which are specialist units ICUs diagnostic rooms , surgery rooms and treatment rooms so no matter what you are suffering from you will get a solution here","['gora', 'patients', 'treatment', 'facilities', 'surgery']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
Ba Ava medicals Madurai main Madurai follows meticulous standards of excellence and they have the best infrastructure and equipments,"['madurai', 'excellence', 'equipments', 'medicals', 'standards']","['Positive', 'Positive', 'Positive', 'Neutral', 'Positive']"
n and a clinic Nanda Nagar Gora kh pair give the patients good and healthy food on time and everything from a pharmacy to an ATM is available within the hospital,"['gora', 'clinic', 'hospital', 'nagar', 'patients']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']"
"this hospital has a pharmacy in the hospital , which charges much less for medicines compared to if you buy medicines from outside","['pharmacy', 'medicines', 'hospital', 'compared', 'charges']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
"a vow I hospital , she no y Nagar , Madurai does a lot of charity work although it is a private hospital and have a rural health center where they treat many patients from under Praia vele GED backgrounds","['madurai', 'hospital', 'nagar', 'charity', 'praia']","['Neutral', 'Neutral', 'Neutral', 'Positive', 'Neutral']"
a run hospital Krishna para m Madurai has some really experienced and well qualified doctors so you can trust them with your life because their success rate for surgery is really high,"['madurai', 'krishna', 'surgery', 'hospital', 'doctors']","['Positive', 'Positive', 'Positive', 'Neutral', 'Positive']"
"this hospital has a pharmacy in the hospital , which charges much less for medicines compared to if you buy medicines from outside","['pharmacy', 'medicines', 'hospital', 'compared', 'charges']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital provides a cashless service option if the health insurance providers that you have choose and are on their list and they did take really good care of my daughter who was suffering from dengue,"['hospital', 'dengue', 'cashless', 'insurance', 'providers']","['Positive', 'Neutral', 'Neutral', 'Positive', 'Positive']"
Neel can the hospital rapt in the agar Gora kh pair has the best departments and they keep res e arcing on the best ways to do the treatment so it is a great place to work at,"['gora', 'hospital', 'treatment', 'neel', 'departments']","['Positive', 'Positive', 'Neutral', 'Positive', 'Positive']"
nursing home bill and put Gora kh bar has a very nice management and they will organize every r thing really well for you,"['nursing', 'management', 'gora', 'organize', 'home']","['Neutral', 'Positive', 'Positive', 'Positive', 'Neutral']"
"the staff the nurses and the doctors are highly qualified at Davy hospital care nji Nagar , Madurai and will take care of you amazingly and ensure that your surgery goes smoothly","['surgery', 'madurai', 'hospital', 'nurses', 'nagar']","['Positive', 'Positive', 'Neutral', 'Positive', 'Neutral']"
the doctors at San Jeeva Ni hospital and research center rapt in agar Gora oh poor are very sincere and they are very dedicated towards giving their clients amazing results,"['gora', 'hospital', 'doctors', 'research', 'results']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
"this hospital has a pharmacy in the hospital , which charges much less for medicines compared to if you buy medicines from outside","['pharmacy', 'medicines', 'hospital', 'compared', 'charges']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
"the operations team at rid hi hospital Bashar in our Gora oh power is great and they did my surgery so well , I feel fine now and they also gave me amazing tips to take care of my health given my condition","['gora', 'hospital', 'surgery', 'health', 'bashar']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
the doctors are very good as well,"['doctors', 'good']","['Positive', 'Positive']"
this hospital has the best of doctors who are well educated and smart so I like the treatment at this place,"['hospital', 'doctors', 'treatment', 'educated', 'smart']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
very happy with the work,"['happy', 'work']","['Positive', 'Positive']"
"I underwent a very complicated surgery at this hospital , but I am very thankful to the team of doctors because they worked really hard to ensure that our surgery will be done efficiently","['surgery', 'hospital', 'thankful', 'doctors', 'underwent']","['Positive', 'Neutral', 'Positive', 'Positive', 'Positive']"
"they are not money minded and are very kind , unlike doctors in other places","['doctors', 'minded', 'money', 'places', 'kind']","['Positive', 'Positive', 'Negative', 'Neutral', 'Positive']"
the ICUs and theatres at the pride hospital Azad Nagar Gora oh poor are really well equipped and the pharmacy is open x,"['hospital', 'nagar', 'pharmacy', 'theatres', 'gora']","['Positive', 'Neutral', 'Positive', 'Positive', 'Positive']"
the coordination of the staff at n and a clinic Nanda Nagar Gora kh part is really good and they inform each other about what medicines they have to give the patient and take really good care of the patient,"['gora', 'clinic', 'medicines', 'nagar', 'patient']","['Positive', 'Neutral', 'Neutral', 'Neutral', 'Positive']"
"Aditya multi specialty hospital , Harvey Patti Madurai has modular operation theatres with state of the art facility and they take good care of you","['hospital', 'facility', 'madurai', 'operation', 'theatres']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hops it all has advanced technology eq IP men and tools so any advanced surgery can be done really smoothly here,"['surgery', 'advanced', 'technology', 'tools', 'eq']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
very happy with the work,"['happy', 'work']","['Positive', 'Positive']"
ratna clinic can rag hat Gora oh power ensures that you get the highest quality of care and it has top notch facilities and amenities,"['clinic', 'gora', 'facilities', 'amenities', 'ratna']","['Neutral', 'Positive', 'Positive', 'Positive', 'Neutral']"
but these doctors were able to do that and recommend surgery and my mother feels amazing now,"['surgery', 'doctors', 'mother', 'amazing', 'feels']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
the doctors at life care hospital civil lines Gora kh pair have a lot of expertise in their field and the fees that they charge for surgery is also not that much,"['gora', 'hospital', 'fees', 'surgery', 'doctors']","['Positive', 'Neutral', 'Positive', 'Neutral', 'Positive']"
